"report_id","date","week","kiosk","lead_name","food_quality_rating","food_quantity_rating","food_concerns_or_outages","team_members_who_did_well","guest_issues_for_the_day","operational_notes","number_of_unclaimed_lunches"
"1","2026-05-01","1","Kiosk A","M.T.","4","4","Chicken ran low during the lunch rush — had to stretch remaining portions.","Team stayed focused throughout the shift.","Multiple guests asked about poke — seems like a recurring request.","No operational concerns today.","5"
"2","2026-05-02","1","Kiosk A","J.S.","4","3","Chicken ran low around noon. Stretched what we had.","Solid effort across the board.","Had a few guests ask about poke today.","N/A","5"
"3","2026-05-03","1","Kiosk A","L.P.","4","4","Chicken ran low around the lunch rush; we stretched portions and got through it.","Everyone pulled their weight today.","No guest concerns today.","Nothing to report.","3"
"4","2026-05-04","1","Kiosk A","N.K.","4","3","chicken ran low again around 12 — had to slow portions","Good energy from everyone on shift.","Nothing to note from guests.","Smooth shift overall.","4"
"5","2026-05-02","1","Kiosk B","J.S.","4","4","Had some leftover pans at end of service — prep was on the higher side today.","Team kept things moving well.","No guest complaints or requests.","All clear.","7"
"6","2026-05-03","1","Kiosk B","L.P.","4","4","Prep ran a bit high; ended up with extra food at close.","Crew was focused and efficient.","Guests seemed satisfied today.","No concerns.","7"
"7","2026-05-04","1","Kiosk B","N.K.","4","4","volume came in lower than expected today — ended up with extra pans","team was good today, no issues","no guest issues","nothing to flag","8"
"8","2026-05-05","2","Kiosk B","D.B.","4","4","Overprepped slightly today — a few pans unclaimed by end of shift.","Team held it together well today.","Nothing to report from guests.","Clean shift.","10"
"9","2026-05-01","1","Kiosk C","L.P.","4","4","No food concerns today.","Good communication throughout the shift.","Several guests mentioned poke when asking about the menu.","Nothing to report.","3"
"10","2026-05-02","1","Kiosk C","N.K.","4","4","food was good today, no issues","everyone did their part","nothing from guests today","all clear","4"
"11","2026-05-03","1","Kiosk C","D.B.","4","4","Prep was on point — nothing to flag.","Good teamwork today.","A couple guests asked about drink options.","No operational concerns today.","5"
"12","2026-05-04","1","Kiosk C","A.R.","4","4","No food concerns.","Team performed well.","No guest feedback today.","Operations ran clean today.","2"
"13","2026-05-02","1","Kiosk D","N.K.","4","4","no food issues today","Shoutout to Dom B. for stepping in on the line when we got busy.","nothing from guests","Register froze during lunch rush — took about 5 minutes to recover.","1"
"14","2026-05-03","1","Kiosk D","D.B.","4","4","Food was good today, nothing to flag.","Team communicated well throughout.","No issues from guests today.","Supply delivery arrived late — cut into our prep window.","5"
"15","2026-05-04","1","Kiosk D","A.R.","4","4","No food concerns to report.","Solid team effort today.","No guest complaints.","Steam table had a temperature drift — reset and monitored closely.","5"
"16","2026-05-05","2","Kiosk D","M.T.","3","4","Food quality was lower than usual today — nothing major but worth noting.","Team adapted to the busy period.","No significant guest issues.","Bottleneck at the handoff station during peak — line backed up briefly.","3"
"17","2026-05-01","1","Kiosk E","D.B.","4","4","Prep was spot on today, no waste.","Dom B. and Alya R. kept line flow smooth and helped newer staff stay on track.","No guest issues today.","Clean shift, no concerns.","0"
"18","2026-05-02","1","Kiosk E","A.R.","5","4","All items well prepped today.","Dom B. kept line flow smooth during the afternoon rush.","No complaints from guests.","No operational issues.","3"
"19","2026-05-03","1","Kiosk E","M.T.","5","4","Food quality was excellent today — well prepped.","Dom B. and Alya R. kept line flow smooth throughout the shift.","Nothing to flag from guests.","Everything ran smoothly.","1"
"20","2026-05-04","1","Kiosk E","J.S.","5","4","Nothing to flag on food today.","Shoutout to Alya R. and Dom B. — kept line flow smooth start to finish.","No guest issues.","N/A","3"
"21","2026-05-02","1","Kiosk F","A.R.","4","3","Quantity estimates were a bit off today — needed to add rice mid-shift.","Team adapted to the adjustments well.","No guest concerns.","No operational concerns.","1"
"22","2026-05-03","1","Kiosk F","M.T.","4","4","Prep amounts were inconsistent — made corrections around noon.","Team handled the mid-shift corrections well.","Guests asked about expanding the beverage selection.","Nothing to report.","4"
"23","2026-05-04","1","Kiosk F","J.S.","4","3","Had to adjust proteins mid-shift; initial prep didn't match demand.","Good effort from the team today.","No issues from guests.","Smooth shift.","3"
"24","2026-05-05","2","Kiosk F","L.P.","4","4","Rice ran short earlier than expected; corrected mid-service.","Crew stayed coordinated throughout.","Nothing notable from guests.","Operations ran smoothly today.","3"
"25","2026-05-08","2","Kiosk A","J.S.","4","4","Chicken ran low during lunch. Had to stretch.","Team worked through it well.","No guest feedback today.","Nothing to report.","2"
"26","2026-05-09","2","Kiosk A","L.P.","4","3","Noticed chicken ran low around the lunch rush; team stretched what we had.","Shoutout to Dom B. for stepping in and helping keep the line moving during rush.","No guest concerns today.","No concerns.","1"
"27","2026-05-10","2","Kiosk A","N.K.","4","4","chicken levels looked fine today, no issues","solid shift overall","Poke came up again — a few regulars asking about it.","nothing to flag","1"
"28","2026-05-11","2","Kiosk A","D.B.","4","3","Chicken ran low again today — team managed well but it was close.","Good energy from the crew.","No major guest issues.","Clean shift overall.","3"
"29","2026-05-09","2","Kiosk B","L.P.","4","4","Food prep was higher than demand today; noticed extra portions at close.","Team stayed on task throughout the shift.","No guest issues.","Nothing to report.","9"
"30","2026-05-10","2","Kiosk B","N.K.","4","4","demand was lighter than expected — had extra food at end of shift","team was solid today","no guest concerns","all good","6"
"31","2026-05-11","2","Kiosk B","D.B.","4","4","Prepped more than needed today — some trays were left over at end of service.","Team did well overall.","Nothing to note from guests.","No issues today.","8"
"32","2026-05-12","3","Kiosk B","A.R.","4","4","Volume came in lower than prepped for; excess food at close of service.","Team performed consistently throughout.","No guest feedback.","Operations ran as expected.","10"
"33","2026-05-08","2","Kiosk C","N.K.","4","4","food was good today","everyone was solid","Had a few requests for additional beverage choices.","no issues to report","1"
"34","2026-05-09","2","Kiosk C","D.B.","4","4","Prep was solid today, no concerns.","Great attitude from the team today.","No guest concerns.","Smooth shift.","4"
